,BP_mmHg_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,Rain_mm_Tot,AirTC_Avg,RH,SlrW_Avg,SlrMJ_Tot,UV_Avg,min_BP_mmHg_Avg,min_WS_ms_S_WVT,min_WindDir_D1_WVT,min_WindDir_SD1_WVT,min_Rain_mm_Tot,min_AirTC_Avg,min_RH,min_SlrW_Avg,min_SlrMJ_Tot,min_UV_Avg,max_BP_mmHg_Avg,max_WS_ms_S_WVT,max_WindDir_D1_WVT,max_WindDir_SD1_WVT,max_Rain_mm_Tot,max_AirTC_Avg,max_RH,max_SlrW_Avg,max_SlrMJ_Tot,max_UV_Avg
2017-05-20,762.7854166666673,2.092118055555554,153.8959930555555,28.082048611111098,0.0458611111111111,10.140041666666662,61.43701388888886,258.72038888888875,0.7761088681937504,51.7989861111111,761.6,0.098,0.002,6.995,0.0,1.704,26.34,0.0,0.0,-0.001,763.6,9.42,358.6,71.06,1.016,18.1,90.3,948.0,2.842737,202.4
2017-05-21,764.4284722222225,2.194326388888889,97.26960416666664,25.69194444444444,0.0017638888888888888,12.357868055555551,52.69923611111113,335.71988888888876,1.0071728630555548,65.39167361111112,763.2,0.92,0.578,11.57,0.0,2.8760000000000003,18.68,0.0,0.0,0.0,765.4,3.887,359.7,48.76,0.254,20.39,93.4,940.0,2.819628,204.3
2017-05-22,765.0083333333334,1.7694513888888894,146.28434027777774,27.68055555555555,0.0,13.616923611111112,46.09756944444444,256.1486111111111,0.768457297267361,50.975875,763.5,0.172,2.188,12.22,0.0,2.633,23.31,0.0,0.0,0.0,766.8,4.245,359.2,72.7,0.0,22.0,86.6,1066.0,3.1984790000000003,220.4
2017-05-23,763.2722222222224,2.1947569444444457,143.89645833333336,29.03152777777777,0.0,16.27465972222222,41.1225,333.7605416666667,1.001288265805555,64.9415,758.8,0.163,12.78,11.52,0.0,4.698,23.09,0.0,0.0,0.0,766.1,4.805,357.8,89.7,0.0,24.52,78.41,922.0,2.765291,201.3
2017-05-24,752.734722222222,5.847875,205.28437499999995,23.40430555555555,0.0,18.09965277777778,30.058402777777783,336.1324166666668,1.008418125208333,64.20429861111113,748.6,0.489,10.36,13.26,0.0,11.34,10.87,0.0,0.0,0.0,758.4,11.61,350.2,48.75,0.0,22.69,53.93,908.0,2.7244759999999997,193.1
2017-05-25,754.6340277777772,1.5333680555555556,206.56231944444463,37.0259722222222,0.0,11.076999999999996,32.08527777777778,330.67465972222203,0.9920412286180554,63.12270833333329,751.1,0.284,0.774,11.6,0.0,4.063,20.13,0.0,0.0,0.0,756.7,4.044,359.7,77.05,0.0,17.73,52.23,1048.0,3.144664,208.6
2017-05-26,758.7,1.7985555555555557,155.87652777777777,22.74604166666667,0.03351388888888888,6.290291666666667,77.10541666666668,56.187451388888896,0.16856952369444456,13.778756944444446,756.0,0.25,12.33,10.46,0.0,3.596,50.85,0.0,0.0,-0.001,763.1,3.552,358.6,53.85,0.762,8.85,89.8,257.8,0.7734668,64.16
2017-05-27,765.2805555555555,1.323729166666667,181.1994305555555,33.44305555555557,0.0,11.11073611111111,61.88159722222219,321.69204861111115,0.9650771808055558,62.77306249999999,763.2,0.086,4.0680000000000005,8.1,0.0,2.036,31.9,0.0,0.0,-0.001,766.4,3.0980000000000003,348.3,90.7,0.0,19.81,95.0,1134.0,3.403439,218.3
2017-05-28,766.2500000000002,1.4757013888888888,137.6799583333334,33.249861111111116,0.0,15.09238194444445,50.29458333333333,342.6444444444444,1.0279663986666667,65.59214583333333,764.7,0.21600000000000003,0.163,8.82,0.0,4.018,20.03,0.0,0.0,0.0,767.5,4.617,357.1,83.1,0.0,23.31,91.4,944.0,2.8314209999999997,203.2
2017-05-29,764.6624999999995,1.532090277777777,120.98502777777779,33.42763888888888,0.0,17.416631944444443,43.123541666666654,340.17875000000015,1.0205333411180557,65.18209722222227,762.8,0.157,4.602,9.69,0.0,6.104,17.26,0.0,0.0,0.0,766.2,3.512,359.8,97.3,0.0,25.61,83.5,951.0,2.8518950000000003,202.2
2017-05-30,762.3611111111112,1.392645833333333,157.01022222222224,32.85747916666665,0.0,18.56977777777777,44.099861111111096,340.13749305555575,1.0204755233958331,64.87236805555557,760.1,0.107,7.542000000000001,5.943,0.0,6.324,16.34,0.0,0.0,-0.001,764.1,4.17,354.9,92.9,0.0,27.07,86.9,925.0,2.776361,197.5
2017-05-31,758.9291666666671,2.9474166666666664,108.74004166666668,23.98819444444444,0.0,19.82402777777778,40.753194444444446,338.74389583333345,1.0162607721666665,63.36831249999997,757.3,0.358,3.9560000000000004,10.44,0.0,8.73,16.91,0.0,0.0,0.0,760.6,7.352,357.7,63.34,0.0,29.62,73.47,942.0,2.82576,198.7
2017-06-01,758.8215277777776,3.1091875000000004,182.1531041666666,25.008750000000006,0.010583333333333333,19.441041666666656,40.47048611111111,222.7643958333333,0.6682774610138889,42.006118055555575,757.6,0.095,2.057,11.48,0.0,14.99,21.7,0.0,0.0,0.0,760.3,6.813,351.1,76.96,1.524,25.6,56.08,836.0,2.507003,172.1
2017-06-02,762.757638888889,2.698263888888889,196.63611111111106,26.307013888888886,0.0,16.588958333333338,54.566874999999996,315.18415277777785,0.9455528622569447,63.24476388888887,760.4,1.314,131.6,12.62,0.0,11.11,29.07,0.0,0.0,0.0,764.1,4.584,279.3,71.05,0.0,23.16,85.9,989.0,2.968004,208.4
2017-06-03,763.1687499999997,1.5119791666666669,158.03802777777778,30.586847222222218,0.0,18.291979166666668,45.075486111111125,323.36747916666656,0.9700942755937495,64.7226111111111,761.3,0.128,0.29600000000000004,7.765,0.0,6.978,19.42,0.0,0.0,-0.001,764.6,3.628,347.1,83.3,0.0,27.74,83.9,968.0,2.9053709999999997,209.8
2017-06-04,759.2854166666665,1.8822291666666662,134.69279861111113,27.334305555555556,0.0,21.455624999999998,43.91402777777781,304.8352708333334,0.9144787932500004,59.406770833333354,756.7,0.391,1.455,11.55,0.0,9.53,15.1,0.0,0.0,-0.001,761.3,5.252999999999999,342.8,76.87,0.0,31.17,81.7,976.0,2.927988,206.7
2017-06-05,762.2451388888891,3.426458333333335,198.14166666666674,22.34868055555555,0.0,17.55458333333333,46.747847222222234,334.80672222222216,1.004373503222222,66.70613194444446,758.8,0.9940000000000001,130.2,11.12,0.0,11.27,18.18,0.0,0.0,0.0,763.5,6.074,256.5,68.37,0.0,23.88,72.03,945.0,2.834059,207.5
2017-06-06,762.9750000000003,1.6390486111111118,106.18131250000005,29.963055555555545,0.0,18.89084722222223,42.402291666666684,325.23460416666666,0.9756851324930561,61.81317361111115,761.0,0.195,1.037,8.74,0.0,6.442,18.59,0.0,0.0,-0.001,764.7,5.422999999999999,347.7,84.3,0.0,30.08,73.57,918.0,2.753773,191.6
2017-06-07,760.7868055555552,2.6330277777777784,128.86912500000003,26.031666666666656,0.0,22.626319444444444,39.97104166666668,334.47906249999994,1.0034216438749999,65.82378472222223,758.7,0.486,4.263,11.49,0.0,13.61,19.51,0.0,0.0,-0.001,762.6,6.109,356.1,74.77,0.0,31.61,65.9,913.0,2.7380299999999997,199.1
2017-06-08,757.4972222222217,2.812527777777779,158.38456250000002,25.20166666666667,0.0,22.663124999999994,34.04083333333332,335.97750000000013,1.0079354333194448,64.73249305555554,755.2,0.203,0.297,12.98,0.0,12.55,14.04,0.0,0.0,-0.001,759.1,6.162999999999999,348.5,78.9,0.0,29.96,62.8,992.0,2.975443,209.0
2017-06-09,757.4652777777773,3.499104166666667,200.8418472222222,24.153958333333332,0.031749999999999994,13.349375000000004,57.62861111111109,93.86676388888891,0.28160229020138894,18.739597222222198,755.7,0.56,5.596,13.4,0.0,8.49,36.91,0.0,0.0,-0.001,758.6,6.296,347.5,73.32,0.762,16.99,87.3,397.4,1.1922979999999999,72.93
2017-06-10,756.3263888888889,3.1885902777777786,210.5494444444444,26.350277777777777,0.0,12.198965277777782,57.90645833333334,288.0011666666667,0.8640279537083331,56.65402777777778,755.8,0.34700000000000003,38.39,11.24,0.0,5.707000000000001,26.28,0.0,0.0,-0.006,756.9,5.972,357.4,77.03,0.0,17.46,94.4,1032.0,3.096071,220.8
2017-06-11,756.1562500000001,3.058340277777777,64.55408333333331,23.236180555555563,0.0,12.654604166666669,59.17076388888888,206.72808333333333,0.6201860899930557,41.78686805555555,752.7,0.27,2.238,13.72,0.0,5.062,37.72,0.0,0.0,-0.001,758.6,5.907,351.6,44.12,0.0,20.37,88.6,1012.0,3.0363290000000003,209.4
2017-06-12,754.8256944444443,2.9142430555555556,149.40284722222222,26.70368055555556,0.07055555555555552,10.710499999999998,73.93569444444444,117.66045833333334,0.35296467359722217,23.53484722222222,750.9,0.504,11.66,12.84,0.0,5.943,38.26,0.0,0.0,-0.001,758.4,8.23,344.1,84.1,2.7939999999999996,22.6,96.4,942.0,2.824632,188.4
2017-06-13,757.3055555555559,4.3599652777777775,200.1708333333333,17.2995138888889,0.08995833333333325,7.862493055555559,85.39902777777779,65.92924305555556,0.19778669541666669,16.057104166666647,755.8,1.295,153.8,12.23,0.0,4.17,65.7,0.0,0.0,-0.125,760.2,6.325,222.9,31.6,0.508,12.31,93.9,229.3,0.6878666999999999,56.04
2017-06-14,761.5187499999992,3.7802500000000006,197.38194444444454,20.549722222222233,0.0,14.29990277777778,51.38111111111113,335.05792361111105,1.0051472802708332,68.80606944444445,760.1,1.861,157.9,12.06,0.0,7.805,29.71,0.0,0.0,-0.001,762.5,5.4479999999999995,231.4,36.43,0.0,20.51,75.91,945.0,2.8353759999999997,213.8
2017-06-15,761.395833333333,2.8843888888888887,203.2467361111111,21.333194444444434,0.0,18.065347222222233,42.26250000000001,244.10231944444442,0.7323208365833337,48.06950694444444,760.3,0.278,19.91,7.51,0.0,10.92,28.96,0.0,0.0,-0.001,762.4,5.931,296.3,50.73,0.0,24.07,64.79,857.0,2.57107,178.0
2017-06-16,760.1201388888888,4.734951388888891,212.82847222222225,20.349236111111107,0.0,18.079236111111108,51.0471527777778,157.08204861111108,0.4712392047708333,33.549555555555564,758.9,1.5119999999999998,182.2,11.66,0.0,15.57,37.74,0.0,0.0,-0.001,761.3,7.433,234.8,34.13,0.0,22.01,78.21,1026.0,3.0769040000000003,235.1
2017-06-17,761.8180555555559,2.973319444444445,194.82083333333333,23.07493055555555,0.0,16.741736111111102,55.067638888888894,321.8053194444446,0.9654063977430558,66.17561111111114,759.9,1.479,161.3,11.46,0.0,11.85,26.94,0.0,0.0,-0.001,763.0,4.521,243.6,58.31,0.0,22.03,86.3,985.0,2.953842,217.8
2017-06-18,763.6215277777775,2.9572291666666657,170.19590277777777,21.392569444444447,0.0,17.944166666666664,42.322986111111085,284.7598124999997,0.8542876397291669,60.77565972222221,762.4,0.79,33.14,11.89,0.0,11.23,27.99,0.0,0.0,0.0,764.7,5.193,221.6,59.08,0.0,24.4,58.12,956.0,2.868912,215.9
2017-06-19,764.7923611111114,1.5095833333333328,129.18913888888886,32.88687500000001,0.0,20.099652777777774,46.02034722222223,344.37404166666664,1.0331003821736109,69.02954861111112,762.7,0.174,6.876,10.42,0.0,9.36,25.01,0.0,0.0,-0.001,766.4,3.653,357.7,92.5,0.0,28.38,79.68,930.0,2.788594,209.5
2017-06-20,761.9916666666671,1.9080138888888891,104.67106249999995,28.464652777777776,0.03880555555555555,20.040902777777777,61.000416666666624,256.66656250000005,0.7700162651805551,51.68092361111112,759.6,0.336,0.7909999999999999,13.29,0.0,11.17,27.69,0.0,0.0,-0.001,763.8,6.527,357.0,76.66,5.587999999999999,30.46,82.5,964.0,2.8923900000000002,203.1
2017-06-21,759.9041666666666,3.525340277777779,177.31893055555548,23.602638888888876,0.0,20.937986111111112,53.0495833333333,340.0421180555554,1.0201978719930558,68.19109027777779,757.9,0.113,2.5660000000000003,8.05,0.0,11.28,30.58,0.0,0.0,-0.001,761.6,7.541,354.6,70.69,0.0,28.77,88.0,923.0,2.7698669999999996,208.4
2017-06-22,761.7881944444441,2.176979166666667,162.84461805555563,28.524166666666662,0.0,18.65249999999999,35.894652777777786,352.1709305555555,1.056578047263889,69.86277083333333,759.5,0.22699999999999998,0.8420000000000001,11.35,0.0,9.81,14.63,0.0,0.0,0.0,764.1,4.118,359.1,84.1,0.0,25.29,75.31,948.0,2.8436060000000003,210.3
2017-06-23,764.8888888888882,1.9567916666666665,131.22416666666672,30.00159722222222,0.0,16.211645833333325,38.23402777777777,355.4381180555556,1.066386391729167,69.96938888888889,764.2,0.276,5.02,11.81,0.0,7.43,16.99,0.0,0.0,-0.001,766.1,3.54,357.2,89.4,0.0,24.63,64.09,944.0,2.833179,210.3
2017-06-24,765.5729166666665,1.5063819444444448,120.04238194444446,28.072916666666657,0.0,17.998472222222222,44.38034722222223,348.9931875,1.0469589022708339,69.10844444444442,764.7,0.17800000000000002,5.683,11.88,0.0,6.528,19.36,0.0,0.0,-0.001,766.5,2.707,273.4,94.9,0.0,26.54,84.0,932.0,2.795003,208.0
2017-06-25,765.4979166666674,1.9942083333333334,104.7493888888889,25.87819444444444,0.0,20.382361111111113,43.043680555555575,348.6493750000001,1.0459169273541664,68.74529861111111,764.1,0.682,0.006,8.74,0.0,9.06,14.67,0.0,0.0,-0.001,766.7,3.9960000000000004,354.5,72.88,0.0,29.64,77.13,927.0,2.78123,206.8
2017-06-26,761.9923611111113,1.5818263888888893,133.2843125,30.0534027777778,0.0,22.010138888888886,45.309097222222185,339.8762708333336,1.0196295539243054,66.54339583333329,758.3,0.214,7.081,10.22,0.0,9.62,18.2,0.0,0.0,-0.001,764.4,6.166,351.5,76.18,0.0,32.38,85.2,978.0,2.9328950000000003,204.7
2017-06-27,758.7076388888889,2.8178680555555533,118.28894444444444,28.811319444444436,0.010583333333333333,19.127777777777784,53.32374999999999,276.3234236111111,0.8289648677777778,54.44889583333333,757.5,0.5589999999999999,5.12,14.3,0.0,13.12,30.86,0.0,0.0,-0.001,760.3,5.763999999999999,352.8,87.2,0.508,25.11,83.0,1079.0,3.2377569999999998,223.5
2017-06-28,758.6173611111112,2.5264374999999992,124.87295138888878,27.455138888888886,0.0035277777777777777,15.472569444444442,62.94763888888888,197.97909027777777,0.5939440465625,41.28749999999999,757.6,0.40299999999999997,3.52,13.4,0.0,11.22,35.23,0.0,0.0,-0.001,760.2,6.815,358.9,68.08,0.254,22.02,86.6,939.0,2.816992,208.4
2017-06-29,762.2611111111116,2.137402777777778,73.83730555555557,28.355624999999996,0.0035277777777777777,14.375784722222221,58.22430555555554,289.4285416666667,0.8682971517847223,58.40445138888893,759.2,0.331,7.922000000000001,11.16,0.0,7.69,31.51,0.0,0.0,-0.001,765.4,5.665,359.7,67.7,0.254,20.88,83.3,1091.0,3.273691,232.7
2017-06-30,764.703472222222,1.4642777777777778,102.95652777777781,29.93708333333333,0.0,16.175770833333342,52.00284722222222,346.24418750000007,1.0387251872708334,68.24849305555551,762.8,0.306,8.18,9.26,0.0,5.48,19.43,0.0,0.0,-0.001,766.3,2.688,356.2,82.0,0.0,25.05,90.8,929.0,2.787297,206.7
2017-07-01,762.3791666666668,1.562604166666667,143.76570138888886,31.642777777777805,0.0,19.72287500000001,47.03562499999999,339.2845069444445,1.017841684298611,67.56267361111111,760.6,0.163,0.774,9.9,0.0,7.827000000000001,11.63,0.0,0.0,-0.001,763.6,4.723,354.0,80.8,0.0,29.67,88.7,923.0,2.76912,205.3
2017-07-02,762.0201388888892,1.6871805555555557,119.48477083333334,29.647569444444443,0.0,21.090624999999992,49.08027777777779,295.08943055555574,0.8852985195763885,57.22330555555555,760.8,0.371,4.487,13.38,0.0,11.21,14.64,0.0,0.0,-0.001,762.5,5.525,354.5,80.1,0.0,31.52,82.7,951.0,2.853088,203.2
2017-07-03,762.4583333333334,1.8746388888888892,142.63304166666677,27.163958333333333,0.0,21.747708333333335,48.6104861111111,318.57766666666663,0.9557438013958337,63.66766666666664,761.4,0.21100000000000002,0.579,13.04,0.0,11.25,17.15,0.0,0.0,-0.001,763.5,4.149,341.4,63.15,0.0,31.55,82.2,913.0,2.7400330000000004,202.3
2017-07-04,763.2090277777778,1.696104166666667,126.15777777777771,27.461375000000004,0.0,23.012083333333326,46.36458333333329,337.95710416666657,1.0138803978958333,65.50522222222223,761.6,0.235,5.43,7.327999999999999,0.0,11.64,20.07,0.0,0.0,-0.001,764.4,3.588,332.0,79.02,0.0,32.32,81.8,955.0,2.865923,207.5
2017-07-05,763.9124999999999,1.7444791666666668,99.62238194444446,29.46138888888888,0.0,24.529374999999984,45.579791666666694,319.2804027777777,0.9578372049097226,61.360680555555554,762.7,0.17800000000000002,2.623,12.35,0.0,13.62,17.1,0.0,0.0,-0.001,765.3,6.047999999999999,344.2,75.33,0.0,36.59,72.78,897.0,2.6895279999999997,190.8
2017-07-06,766.1986111111105,1.833340277777778,139.0381527777778,30.762291666666652,0.0,25.901944444444432,37.28999999999999,329.9357569444444,0.9898012280694444,61.85148611111112,765.1,0.355,1.264,10.04,0.0,15.8,13.61,0.0,0.0,-0.001,767.2,3.4530000000000003,356.6,71.21,0.0,35.25,69.54,896.0,2.6871959999999997,188.2
2017-07-07,766.3326388888889,2.109250000000001,127.64156249999996,29.096180555555552,0.0,23.435277777777767,46.41666666666665,270.13011805555584,0.8103363794166669,53.18302083333334,765.0,0.087,5.88,12.04,0.0,13.96,14.94,0.0,0.0,-0.001,768.4,6.151,357.2,73.73,0.0,34.42,79.82,880.0,2.6400330000000003,188.3
2017-07-08,764.9993055555558,1.8660347222222222,120.03826388888882,26.693402777777784,0.0,24.018819444444446,45.95979166666667,313.95827083333336,0.9418919736666671,60.12354861111112,762.7,0.528,9.51,10.62,0.0,12.92,17.35,0.0,0.0,-0.001,766.6,5.71,359.8,57.44,0.0,35.38,78.3,910.0,2.72948,189.6
2017-07-09,763.5583333333337,2.234590277777778,119.12379166666662,27.280694444444443,0.0,23.60944444444444,49.72180555555555,273.5101041666668,0.8205770710833336,52.11872222222222,761.5,0.022000000000000002,6.466,10.31,0.0,15.4,26.37,0.0,0.0,-0.001,764.6,9.51,358.4,81.4,0.0,32.09,78.32,1077.0,3.231896,208.0
2017-07-10,761.3229166666665,2.787284722222223,149.64722222222224,23.328958333333336,0.0,23.556875000000005,48.00527777777781,314.8133194444444,0.9444990300208335,60.48059027777779,758.6,0.483,13.07,9.51,0.0,14.12,23.57,0.0,0.0,-0.001,764.1,5.632999999999999,334.9,92.2,0.0,31.32,85.2,890.0,2.6692009999999997,194.6
2017-07-11,760.297916666667,2.835749999999999,163.83647222222217,26.51819444444445,0.0,22.55479166666667,43.565416666666664,328.3048194444444,0.9848716642916663,64.77029166666668,759.4,0.19899999999999998,1.73,12.63,0.0,11.82,25.53,0.0,0.0,0.0,761.4,5.934,355.9,69.53,0.0,29.98,83.0,905.0,2.714624,200.8
2017-07-12,762.2854166666664,2.5668124999999997,187.79027777777776,25.56354166666665,0.0,23.29479166666667,38.117500000000014,334.8001041666667,0.9900558203819441,65.52810416666665,760.2,0.5329999999999999,102.6,11.12,0.0,13.68,19.16,0.0,0.0,0.0,763.5,5.039,328.2,75.04,0.0,31.38,68.77,903.0,2.710302,201.0
2017-07-13,763.8337931034484,1.2739931034482757,121.62375172413788,32.09958620689655,0.0,23.42365517241379,45.872896551724146,306.0116896551725,0.9063374837517241,58.72265517241375,762.6,0.25,2.94,15.05,0.0,11.16,19.65,0.0,0.0,-0.001,765.0,2.349,356.7,91.2,0.0,34.64,84.9,890.0,2.668848,187.8
2017-07-14,765.3375,1.3353541666666673,126.5171597222222,33.40333333333332,0.0,24.91041666666666,41.407083333333354,331.77854861111126,0.9953313601875,62.276687499999966,764.5,0.25,0.821,11.59,0.0,13.09,10.92,0.0,0.0,-0.001,766.4,3.7710000000000004,358.2,83.8,0.0,36.17,81.4,896.0,2.688218,190.5
2017-07-15,764.8229166666667,1.4844305555555553,141.0293472222222,31.673263888888886,0.0,25.605486111111105,41.58319444444445,299.68255555555555,0.8990175265138889,58.788270833333314,762.2,0.271,3.8760000000000003,9.26,0.0,15.7,18.55,0.0,0.0,-0.001,766.5,4.729,359.5,79.43,0.0,34.61,67.66,957.0,2.8702259999999997,193.2
2017-07-16,762.6361111111111,3.044166666666667,141.12882638888883,22.94895833333333,0.0,22.92347222222223,48.10680555555556,299.35286111111117,0.8980534084583334,57.20593055555555,760.6,0.307,2.255,13.25,0.0,15.2,28.77,0.0,0.0,-0.001,763.7,7.08,355.4,52.39,0.0,28.18,78.45,928.0,2.784043,190.9
2017-07-17,760.7263888888886,3.100673611111111,160.78903472222214,27.77215277777779,0.0,23.51979166666667,40.32374999999999,313.9589791666667,0.9418476565069446,59.20211111111111,759.2,0.419,4.961,13.23,0.0,12.3,21.24,0.0,0.0,-0.001,762.2,5.527,343.2,96.0,0.0,31.67,79.38,918.0,2.753883,191.5
2017-07-18,762.00625,2.2660833333333326,146.69769444444444,26.89527777777777,0.0,24.007152777777776,41.717847222222204,324.7347500000001,0.9741848246111111,62.16913194444448,760.6,0.413,0.588,12.72,0.0,11.69,15.89,0.0,0.0,-0.001,763.4,4.82,352.9,75.83,0.0,32.6,80.7,883.0,2.648132,190.4
2017-07-19,761.9826388888882,1.8641527777777773,135.2845625,28.429236111111106,0.0,24.116180555555548,40.47243055555556,317.62712500000015,0.952897969777778,57.92288194444445,760.8,0.184,3.9,12.83,0.0,13.77,13.79,0.0,0.0,-0.001,763.5,3.536,337.3,96.2,0.0,32.82,80.1,888.0,2.662658,185.1
